French,English
chercher,search
seulement,only
aide,help
demande,request
genre,kind
mois,month
car,because
aucun,no
laisse,leash
eux,them
arrivé,come
vont,will
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
type,type
leurs,their
donné,given
corps,body
endroit,place
écoute,listen
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
venez,come
devant,in front of
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
espère,hope
eau,water
parti,left
boulot,job
dirait,would say
compte,account
fin,end
croire,believe
plutôt,rather
aura,will have
bureau,office
